"speccode","english_name","scientific_name","taxonomic_rank"
1,"Red-throated Diver","Gavia stellata","Species"
2,"Black-throated Diver","Gavia arctica","Species"
3,"Great Northern Diver","Gavia immer","Species"
4,"White-billed Diver","Gavia adamsii","Species"
5,"Pied-billed Grebe","Podilymbus podiceps","Species"
6,"Little Grebe","Tachybaptus ruficollis","Species"
7,"Great Crested Grebe","Podiceps cristatus","Species"
8,"Red-necked Grebe","Podiceps grisegena","Species"
9,"Slavonian Grebe","Podiceps auritus","Species"
10,"Black-necked Grebe","Podiceps nigricollis","Species"
11,"Black-browed Albatross","Thalassarche melanophris","Species"
12,"Fulmar","Fulmarus glacialis","Species"
15,"Cory's Shearwater","Calonectris borealis","Species"
16,"Great Shearwater","Ardenna gravis","Species"
17,"Sooty Shearwater","Ardenna grisea","Species"
18,"Manx Shearwater","Puffinus puffinus","Species"
19,"Barolo Shearwater","Puffinus baroli","Species"
22,"Storm Petrel","Hydrobates pelagicus","Species"
23,"Leach's Petrel","Oceanodroma leucorhoa","Species"
25,"Gannet","Morus bassanus","Species"
26,"Cormorant","Phalacrocorax carbo","Species"
27,"Shag","Phalacrocorax aristotelis","Species"
28,"Great White Pelican","Pelecanus onocrotalus","Species"
30,"Bittern","Botaurus stellaris","Species"
31,"American Bittern","Botaurus lentiginosus","Species"
32,"Little Bittern","Ixobrychus minutus","Species"
33,"Night Heron","Nycticorax nycticorax","Species"
34,"Green Heron","Butorides virescens","Species"
35,"Squacco Heron","Ardeola ralloides","Species"
36,"Cattle Egret","Bubulcus ibis","Species"
37,"Little Egret","Egretta garzetta","Species"
38,"Great White Egret","Ardea alba","Species"
39,"Grey Heron","Ardea cinerea","Species"
40,"Purple Heron","Ardea purpurea","Species"
42,"White Stork","Ciconia ciconia","Species"
43,"Glossy Ibis","Plegadis falcinellus","Species"
44,"Spoonbill","Platalea leucorodia","Species"
45,"Greater Flamingo","Phoenicopterus roseus","Species"
46,"Mute Swan","Cygnus olor","Species"
47,"Bewick's Swan","Cygnus columbianus","Species"
48,"Whooper Swan","Cygnus cygnus","Species"
49,"Taiga/Tundra Bean Goose","Anser fabalis/serrirostris","Species aggregate"
50,"Pink-footed Goose","Anser brachyrhynchus","Species"
51,"White-fronted Goose","Anser albifrons","Species"
52,"Lesser White-fronted Goose","Anser erythropus","Species"
53,"Greylag Goose","Anser anser","Species"
54,"Snow Goose","Anser caerulescens","Species"
55,"Canada Goose","Branta canadensis","Species"
56,"Barnacle Goose","Branta leucopsis","Species"
57,"Brent Goose","Branta bernicla","Species"
58,"Red-breasted Goose","Branta ruficollis","Species"
59,"Egyptian Goose","Alopochen aegyptiaca","Species"
60,"Ruddy Shelduck","Tadorna ferruginea","Species"
61,"Shelduck","Tadorna tadorna","Species"
62,"Wood Duck","Aix sponsa","Species"
63,"Mandarin Duck","Aix galericulata","Species"
64,"Wigeon","Mareca penelope","Species"
65,"American Wigeon","Mareca americana","Species"
66,"Gadwall","Mareca strepera","Species"
67,"Baikal Teal","Sibirionetta formosa","Species"
68,"Teal","Anas crecca","Species"
69,"Mallard","Anas platyrhynchos","Species"
70,"American Black Duck","Anas rubripes","Species"
71,"Pintail","Anas acuta","Species"
72,"Garganey","Spatula querquedula","Species"
73,"Blue-winged Teal","Spatula discors","Species"
74,"Shoveler","Spatula clypeata","Species"
75,"Red-crested Pochard","Netta rufina","Species"
76,"Pochard","Aythya ferina","Species"
77,"Ring-necked Duck","Aythya collaris","Species"
78,"Ferruginous Duck","Aythya nyroca","Species"
79,"Tufted Duck","Aythya fuligula","Species"
80,"Scaup","Aythya marila","Species"
81,"Eider","Somateria mollissima","Species"
82,"King Eider","Somateria spectabilis","Species"
83,"Steller's Eider","Polysticta stelleri","Species"
85,"Long-tailed Duck","Clangula hyemalis","Species"
86,"Common Scoter","Melanitta nigra","Species"
87,"Surf Scoter","Melanitta perspicillata","Species"
88,"Velvet Scoter","Melanitta fusca","Species"
90,"Barrow's Goldeneye","Bucephala islandica","Species"
91,"Goldeneye","Bucephala clangula","Species"
92,"Hooded Merganser","Lophodytes cucullatus","Species"
93,"Smew","Mergellus albellus","Species"
94,"Red-breasted Merganser","Mergus serrator","Species"
95,"Goosander","Mergus merganser","Species"
96,"Ruddy Duck","Oxyura jamaicensis","Species"
97,"Honey-buzzard","Pernis apivorus","Species"
98,"Black Kite","Milvus migrans","Species"
99,"Red Kite","Milvus milvus","Species"
100,"White-tailed Eagle","Haliaeetus albicilla","Species"
104,"Marsh Harrier","Circus aeruginosus","Species"
105,"Hen Harrier","Circus cyaneus","Species"
106,"Pallid Harrier","Circus macrourus","Species"
107,"Montagu's Harrier","Circus pygargus","Species"
108,"Goshawk","Accipiter gentilis","Species"
109,"Sparrowhawk","Accipiter nisus","Species"
110,"Buzzard","Buteo buteo","Species"
111,"Rough-legged Buzzard","Buteo lagopus","Species"
113,"Golden Eagle","Aquila chrysaetos","Species"
114,"Osprey","Pandion haliaetus","Species"
116,"Kestrel","Falco tinnunculus","Species"
117,"American Kestrel","Falco sparverius","Species"
118,"Red-footed Falcon","Falco vespertinus","Species"
119,"Merlin","Falco columbarius","Species"
120,"Hobby","Falco subbuteo","Species"
122,"Saker Falcon","Falco cherrug","Species"
123,"Gyrfalcon","Falco rusticolus","Species"
124,"Peregrine","Falco peregrinus","Species"
125,"Red Grouse","Lagopus lagopus","Species"
126,"Ptarmigan","Lagopus muta","Species"
127,"Black Grouse","Lyrurus tetrix","Species"
128,"Capercaillie","Tetrao urogallus","Species"
129,"Northern Bobwhite","Colinus virginianus","Species"
130,"Red-legged Partridge","Alectoris rufa","Species"
131,"Grey Partridge","Perdix perdix","Species"
132,"Quail","Coturnix coturnix","Species"
133,"Pheasant","Phasianus colchicus","Species"
134,"Golden Pheasant","Chrysolophus pictus","Species"
135,"Lady Amherst's Pheasant","Chrysolophus amherstiae","Species"
136,"Water Rail","Rallus aquaticus","Species"
137,"Spotted Crake","Porzana porzana","Species"
139,"Little Crake","Porzana parva","Species"
141,"Corncrake","Crex crex","Species"
142,"Moorhen","Gallinula chloropus","Species"
145,"Coot","Fulica atra","Species"
146,"American Coot","Fulica americana","Species"
147,"Crane","Grus grus","Species"
151,"Great Bustard","Otis tarda","Species"
152,"Oystercatcher","Haematopus ostralegus","Species"
153,"Black-winged Stilt","Himantopus himantopus","Species"
154,"Avocet","Recurvirostra avosetta","Species"
155,"Stone-curlew","Burhinus oedicnemus","Species"
159,"Little Ringed Plover","Charadrius dubius","Species"
160,"Ringed Plover","Charadrius hiaticula","Species"
162,"Killdeer","Charadrius vociferus","Species"
163,"Kentish Plover","Charadrius alexandrinus","Species"
166,"Dotterel","Charadrius morinellus","Species"
167,"Golden Plover","Pluvialis apricaria","Species"
168,"Grey Plover","Pluvialis squatarola","Species"
169,"Sociable Lapwing","Vanellus gregarius","Species"
171,"Lapwing","Vanellus vanellus","Species"
172,"Knot","Calidris canutus","Species"
173,"Sanderling","Calidris alba","Species"
174,"Semipalmated Sandpiper","Calidris pusilla","Species"
176,"Little Stint","Calidris minuta","Species"
177,"Temminck's Stint","Calidris temminckii","Species"
180,"White-rumped Sandpiper","Calidris fuscicollis","Species"
181,"Baird's Sandpiper","Calidris bairdii","Species"
182,"Pectoral Sandpiper","Calidris melanotos","Species"
184,"Curlew Sandpiper","Calidris ferruginea","Species"
185,"Purple Sandpiper","Calidris maritima","Species"
186,"Dunlin","Calidris alpina","Species"
189,"Buff-breasted Sandpiper","Calidris subruficollis","Species"
190,"Ruff","Calidris pugnax","Species"
191,"Jack Snipe","Lymnocryptes minimus","Species"
192,"Snipe","Gallinago gallinago","Species"
195,"Long-billed Dowitcher","Limnodromus scolopaceus","Species"
196,"Woodcock","Scolopax rusticola","Species"
197,"Black-tailed Godwit","Limosa limosa","Species"
198,"Hudsonian Godwit","Limosa haemastica","Species"
199,"Bar-tailed Godwit","Limosa lapponica","Species"
202,"Whimbrel","Numenius phaeopus","Species"
203,"Curlew","Numenius arquata","Species"
204,"Upland Sandpiper","Bartramia longicauda","Species"
205,"Spotted Redshank","Tringa erythropus","Species"
206,"Redshank","Tringa totanus","Species"
208,"Greenshank","Tringa nebularia","Species"
209,"Greater Yellowlegs","Tringa melanoleuca","Species"
210,"Lesser Yellowlegs","Tringa flavipes","Species"
212,"Green Sandpiper","Tringa ochropus","Species"
213,"Wood Sandpiper","Tringa glareola","Species"
215,"Common Sandpiper","Actitis hypoleucos","Species"
216,"Spotted Sandpiper","Actitis macularius","Species"
217,"Turnstone","Arenaria interpres","Species"
218,"Wilson's Phalarope","Phalaropus tricolor","Species"
219,"Red-necked Phalarope","Phalaropus lobatus","Species"
220,"Grey Phalarope","Phalaropus fulicarius","Species"
221,"Pomarine Skua","Stercorarius pomarinus","Species"
222,"Arctic Skua","Stercorarius parasiticus","Species"
223,"Long-tailed Skua","Stercorarius longicaudus","Species"
224,"Great Skua","Stercorarius skua","Species"
226,"Mediterranean Gull","Ichthyaetus melanocephalus","Species"
227,"Laughing Gull","Leucophaeus atricilla","Species"
228,"Franklin's Gull","Leucophaeus pipixcan","Species"
229,"Little Gull","Hydrocoloeus minutus","Species"
230,"Sabine's Gull","Xema sabini","Species"
231,"Bonaparte's Gull","Chroicocephalus philadelphia","Species"
232,"Black-headed Gull","Chroicocephalus ridibundus","Species"
234,"Ring-billed Gull","Larus delawarensis","Species"
235,"Common Gull","Larus canus","Species"
236,"Lesser Black-backed Gull","Larus fuscus","Species"
237,"Herring Gull","Larus argentatus","Species"
238,"Iceland Gull","Larus glaucoides","Species"
239,"Glaucous Gull","Larus hyperboreus","Species"
240,"Great Black-backed Gull","Larus marinus","Species"
241,"Ross's Gull","Rhodostethia rosea","Species"
242,"Kittiwake","Rissa tridactyla","Species"
243,"Ivory Gull","Pagophila eburnea","Species"
247,"Lesser Crested Tern","Thalasseus bengalensis","Species"
248,"Sandwich Tern","Thalasseus sandvicensis","Species"
249,"Roseate Tern","Sterna dougallii","Species"
250,"Common Tern","Sterna hirundo","Species"
251,"Arctic Tern","Sterna paradisaea","Species"
253,"Forster's Tern","Sterna forsteri","Species"
256,"Little Tern","Sternula albifrons","Species"
258,"Black Tern","Chlidonias niger","Species"
259,"White-winged Black Tern","Chlidonias leucopterus","Species"
260,"Guillemot","Uria aalge","Species"
261,"Brünnich's Guillemot","Uria lomvia","Species"
262,"Razorbill","Alca torda","Species"
264,"Black Guillemot","Cepphus grylle","Species"
265,"Little Auk","Alle alle","Species"
266,"Puffin","Fratercula arctica","Species"
268,"Rock Dove","Columba livia","Species"
269,"Stock Dove","Columba oenas","Species"
270,"Woodpigeon","Columba palumbus","Species"
271,"Collared Dove","Streptopelia decaocto","Species"
272,"Turtle Dove","Streptopelia turtur","Species"
273,"Oriental Turtle Dove","Streptopelia orientalis","Species"
274,"Ring-necked Parakeet","Psittacula krameri","Species"
275,"Great Spotted Cuckoo","Clamator glandarius","Species"
276,"Cuckoo","Cuculus canorus","Species"
279,"Barn Owl","Tyto alba","Species"
281,"Eurasian Eagle-Owl","Bubo bubo","Species"
282,"Snowy Owl","Bubo scandiacus","Species"
284,"Little Owl","Athene noctua","Species"
285,"Tawny Owl","Strix aluco","Species"
286,"Long-eared Owl","Asio otus","Species"
287,"Short-eared Owl","Asio flammeus","Species"
289,"Nightjar","Caprimulgus europaeus","Species"
292,"Common Nighthawk","Chordeiles minor","Species"
295,"Swift","Apus apus","Species"
296,"Pallid Swift","Apus pallidus","Species"
300,"Kingfisher","Alcedo atthis","Species"
305,"Hoopoe","Upupa epops","Species"
